origin,retard_mig,vols
SPN,-4.497252747252747,366
SPS,6.853932584269663,725
SRQ,8.933465930963685,16201
STC,-0.6870748299319728,149
STL,6.028903608319052,65597
STS,11.393558951965066,3688
STT,14.868621265540916,5538
STX,25.457167090754876,1196
SUN,6.023773394031361,2005
SUX,15.535664335664336,730
SWF,12.84652278177458,425
SWO,5.858345021037868,730
SYR,3.1162330746995286,13376
TLH,6.2439024390243905,6097
TOL,11.364864864864865,375
TPA,9.82962836819974,78517
TRI,0.9208277103013945,2248
TTN,7.084246970571264,1798
TUL,4.050784475639967,17155
TUS,4.974957823703079,19128
TVC,11.834944237918215,4090
TWF,-6.336676217765043,700
TXK,15.436974789915967,737
TYR,11.697542533081286,1090
TYS,4.627268176698786,16281
USA,22.192700729927008,703
VCT,11.147249190938512,635
VEL,16.76923076923077,52
VLD,3.9724770642201834,781
VPS,9.20266393442623,9897
WRG,-3.5901408450704224,726
WYS,8.197411003236246,313
XNA,7.278968080454744,13874
XWA,12.400619514713474,1972
YAK,-4.5522174535050075,726
YUM,6.002922267679719,1722
